column	line	spine	calamari	class	geometry_flagged	word	context
page-120-L	15	15	1	spine-outvoted	yes	15	56a27.7.757a19,b20.ὅσαἀπὸ15ταὐτομάτȣγίνεταιἔχȣσιδὲτὸ
page-120-L	25	2	2	2-2-split	yes	2	ρενδύναταιγίγνεσθαιΖγα18.2723a34.πότεϗ̀διὰτίν'αἰτία
page-123-L	40	40	0	spine-outvoted	yes	54540	5b19.Φζ5.236a14.Ζιε14.54540b25.ἀρχὴτȣ͂αἰσθητηρίȣ,τῆς
page-123-L	50	6	εd	spine-outvoted	yes	6	17.κατ'ἀρχάςχ6.798b11,25,630.ἐπ'ἀρχὴντȣ̀ςλόγȣςἀναλύ
page-126-L	25	2		spine-outvoted	yes	820b27.2	ρωντινῶνἐστίνφτα6.820b27.2ἀρωματοφόραδένδραφτα6.820
page-128-L	55	5	s	spine-outvoted	yes	ζῷον5	stοtelicus).—2.ἀστήρ.ζῷον5θαλάττιονὁκαλȣ́μενοςἀστὴρ
page-130-R	5	5		spine-outvoted	yes	5	ἄλλωνψα5.409b21.2.405a27.5Ἀσωπȣ͂ἡΣινώπηf540.1567b23
page-130-R	15	15	l5	spine-outvoted	yes	151507b23.	7.Ρα9.1367b3.—ἀσώτωςf178.151507b23.ἄτα.ἐγγύαπάραδ'ἄτ
page-130-R	25	25	25	2-2-split	yes	25πη14.	13.32b19Wζ.κίνησιςἄτακτος25πη14.888b13.ἡπυρώδηςϗ̀ἄτα
page-131-R	25	2	a	spine-outvoted	no	2	οιἐκτȣ͂ἄστεωςπο3.1448a38.2ἀτίμητονμετανάστην(ΗοmΙ64
page-136-L	25	2	2	2-2-split	yes	2	συμβαίνεινἐκταὐτομάτȣf13.21476a30.γίγνεταίτιαὐτόματ
page-137-R	50	50	0	spine-outvoted	no	50a33.	ντιςf433.1549b36.503.156050a33.αὕτως.ὧςδ'αὕτως(Εmped
page-139-R	25	2	2	2-2-split	no	2θ10.	νωνἕναἀφηγεῖσθαιτῆςἀγέλης2θ10.831a22.ἄφθαρτος.τὸἄφθ
page-142-R	45	α5	45	spine-outvoted	no	α5	ιραϗ̀ἄποδαζῷαΖιγ5.515b24.α5Ἀχελῷοςμα13.350b15.14.352
page-142-R	60	6	6	2-2-split	no	6Ἀχίλλειοι	όμενοςτῇἐδωδῇΖιζ6.563a22.6ἈχίλλειοισπόγγοιΖιε16.548
page-146-L	45	-45	-4	spine-outvoted	yes	μᾶλ-45	8a19.cf12.918a40.ἔργονμᾶλ-45λονᾄδειντὰὀξέαἢτὰβαρέαπιθ
page-147-L	20	2		spine-outvoted	yes	1304b13.2	σιλεύςvοcaturΠε4.1304b13.2—οἱτῶνπόλεωνβασιλεῖςνόμοι
page-147-L	25	-2	-5	spine-outvoted	yes	(Tro-2	.592b27.Ζιι11.615a19.(Τrο-2glοdytesparvulusΚοch.Lnd7
page-148-R	15	15	15	2-2-split	no	15πνιγμȣ̀ς	8.420b33.ἐμποιεῖν(ποιεῖν)15πνιγμȣ̀ςϗ̀βῆχαςΖμγ3.664b6
page-158-R	25	2	a5	spine-outvoted	no	2λίζει	6,3.αὐτὸςαὑτὸνȣ̓δεὶςγαργα2λίζειπλε6.965a11.γαργαλισ
page-162-L	10	10	10	2-2-split	yes	33410	a9.2.316a4.6.322b6.β7.33410a22.Ζμα1.640b11.ΜΑ8.989b3
page-163-L	5	5	5	2-2-split	yes	ἐπὶ5	9.τὸγένοςκαθόλȣμᾶλλον,ἐπὶ5πλέονλέγεταιτῆςδιαφορᾶς,ȣ
page-163-L	10	-1	-0	spine-outvoted	yes	γνω-1	3.cfκ1.1059b33.τὸγένοςγνω-1ριμώτερον(intφύσει)τῆςδια
page-163-L	50	0	0	2-2-split	yes	995b29.0	9.ΜΑ9.992a17Βζ.β1.995b29.03.998b15,18.4.999a31.δ6.1
page-170-R	15	15	l5	spine-outvoted	no	15ρ15.	4.21.1394b18.γ17.1418b34.15ρ15.1431a35.distσημεῖαρ15
page-173-R	60	60	99	spine-outvoted	no	60γράμμα.	μοιπρὸςβίονΠθ3.1337b25.cf60γράμμα.—γραμματικῶςΗβ3.11
page-174-R	35	35.	a.	spine-outvoted	no	35.	τὸμὲνὅμοιονποιεῖντῷπόρρω,35.τὸδὲτῷπλησίονακ801a33.γρα
page-179-L	35	-3	-a	spine-outvoted	yes	alie-3	isgraecisscriptοribusalie-3numusumparticulaeδέinapοd
page-185-L	25	2	.	spine-outvoted	yes	11912	ulο)ημα11.1187b24.22.11912b8.β10.1208a32.ϗ̀δὴϗ̀μβ3.
page-186-R	50	50	50	2-2-split	no	50	οντες(ΗοmΓ149)Ηβ9.1109b9.50ΔημοδόκȣτὸεἰςΜιλησίȣςΗη9.
page-188-L	15	15	1	spine-outvoted	yes	15	Schοl424b44).Οα8.τὰἔχοντα15πλάτοςδιὰτίἐπιμένειΟδ6.31
page-188-L	20	2	ο0	spine-outvoted	yes	—2	ερὶσεισμῶνμβ7.365a18,b1.—2τὰφυτὰνȣ͂νϗ̀γνῶσινἔχεινφτ
page-188-L	25	-2		spine-outvoted	yes	γίνε-2	τέραιςΖγβ4.740a36.πῶςγίνε-2ταιἡδιαφορὰτȣ͂θήλεοςϗ̀ἄρρ
page-194-R	60	0		spine-outvoted	no	0a18.	ειλεγμένοςpassiveτθ11.1610a18.Αα43.50a12.διάλειμμα.
page-196-L	25	-2		spine-outvoted	yes	συν-2	ὰσώματαπια56.905a29(cfσυν-2έστηκενa28).κδ3.936a25.τὸ
page-200-R	10	1	1	2-2-split	no	1	υσιογνωμονȣ͂ντιφ1.805b21.1διασαφηνίζω.Sενοφάνηςȣ̓δὲ
page-202-R	15	15	l5	spine-outvoted	no	15	έξειδιαθέσθαιΡγ1.1403b20.15διατμίζειν.transδιατμιζομ
page-203-L	15	1	1	2-2-split	yes	7801	τὸμὴδιαφαινόμενονΖγε1.7801a34,cfδιαφανής.τὸδιαφαινό
page-203-L	45	4f		spine-outvoted	yes	4f	ινος,ἔντινι,τὶΟγ1.298b14.4fψα2.404b30,405a2.Πε1.1301
page-203-L	55	56	55	spine-outvoted	yes	52756	ρρενοςἢτῆςθηλείαςΖιδ2.52756a17.διαφέρȣσιταύτηνπρὸςἀλ
page-206-R	15	15	l5	spine-outvoted	no	15	ἐκσυλλογισμȣ͂f85.1490b38.15διεξἄττοντεςἄνεμοικ4.394b
page-206-R	55	56	5	spine-outvoted	no	56	εταιψβ11.423a25,b1Τrdlbg.56διέρχεσθαιἀνίσȣςγραμμάςπι
page-207-R	10	1	0	spine-outvoted	no	1ἕτερον	ήίκωνἐξαἰῶνοςἀτέρμονοςεἰς1ἕτεροναἰῶνακ7.401a16.διημ
page-208-L	25	2	a	spine-outvoted	yes	12552	ρὶςτȣ́τωντῶνλόγωνΠα6.12552a19.—ἡδιάστασιςμίατῶνδιεσ
page-208-L	30	8	s	spine-outvoted	yes	3398	διεστηκέναιἀλλήλωνμα2.3398a27.διισταμένωντῶντόπωντῶ
page-208-L	35	3		spine-outvoted	yes	3	σινὅσονψυχὴσώματοςsimΠα5.31254b16.η3.1325a28.ἡτραγῳ
page-208-L	40	4		spine-outvoted	yes	4	διέστηκενἀπὸταύτηςπολὺτῆς4πολιτείαςΠδ2.1289b3.διέστ
page-209-L	45	-4ς		spine-outvoted	yes	4ς	Ρα13.—προακηκοέναιτὰτῶνἀμ-4ςφισβητȣ́ντωνλόγωνδικαιώμα
page-210-R	25	2	2	2-2-split	no	2354b33,	ὑγρῷ(respvideturDiοg)μβ2.2354b33,355a22.1.353b6.cfΑ
page-220-R	15	ι5	l5	spine-outvoted	no	ι5	εςχειμῶνος,θέρȣςκ4.395a2.ι5δυναστευτικὴὀλιγαρχίαΠδ14
page-221-R	35	35	a5	spine-outvoted	no	35	ησαύριστοςκαρπόςκ6.401a5.35δυσθυμίαιἄλογοιπλ1.954b35
page-224-R	45	45	a5	spine-outvoted	no	45	γγύτερον,ἐγγυτέρω,ἔγγιον,45superlἐγγύτατα,ἐγγυτάτωvs
page-226-R	25	2	a	spine-outvoted	no	2	.1202b33.distἰσχυρογνώμων2Ηη10.1151b7sqq.ἐγκρύπτειν
page-226-R	30	1	a	spine-outvoted	no	1	ρυψιςσώζειτὸπῦρζ5.470a12.1ἐγκύκλημα.πρόσοδοςἀπὸγῆς,
page-236-L	20	2	2	2-2-split	yes	κινήσειε2	αγαγὼντὰμέγιστ'ἂνκινήσειε2τῶνμαθηματικῶνΟα4.271b11.
page-237-L	25	2	2	2-2-split	yes	2	ονΠε4.1304b11.Ζμα1.639b4.2πρότερονμὲν,εἶταΠβ10.1272
page-237-L	35	3	3	2-2-split	yes	3	ροφέρεινsimτα7.103a8.Πγ3.31276a37.7.1279a23.17.1288
page-241-L	45	4	a	spine-outvoted	yes	4	οntineatΜη4.1044b10,14Βζ.4Αδ2.90a15.8.93a23,30,37.1
page-242-R	15	15	i5	spine-outvoted	no	15	οppτὸνεἴσπλȣνθ105.839b14.15ἐκπλύνω.ὅταντὸἔριονἐκπλυθ
page-251-L	40	-0	-ο	spine-outvoted	yes	suppe-0	reinaturafacilenοtiοsuppe-0ditatur.τῆςὕβρεωςȣ̓́σηςπο
page-252-L	5	5		spine-outvoted	yes	ἔλυτρον5	τὰμὲνἔχειτῶνπτηνῶνἔλυτρον5τοῖςπτεροῖς,ὥσπερἡμηλολόν
page-252-L	15	15	15	2-2-split	yes	15	ιςϗ̀ἑλώδεσι(cοrr,εἱλώδεσι15Βussem),οppἐνκοίλοιςϗ̀ἐφύ
page-252-L	25	25	25	2-2-split	yes	25	ονΑγ22.84a36.25.86b18.32.2588b5(cfεἴσωἔχεινὅρȣςa35).
page-255-R	25	2	a	spine-outvoted	no	2	(indecοrrigendum1345b30).2ἐμπορίᾳχρῆσθαιf508.1561a3
page-261-R	30	3	a0	spine-outvoted	no	3	δέχεσθαιmutarunt,defendit3etexplicatVhlΡοetΙΙΙ342.)
page-264-R	15	15	15	2-2-split	no	151026a5.	ίαςθεωρῆσαιτȣ͂φυσικȣ͂Με1.151026a5.ἐνίοτεμγ1.371a30.Π
page-265-R	10	1	1	2-2-split	no	1	ὸὡςἐπὶτὸπολύΡβ25.1402b29.1ἐνστατικός.πρᾶαϗ̀δύσθυμαϗ
page-265-R	15	1	1	2-2-split	no	1	.ἐνσχολάζεινΠη12.1331b12.1ἐνταράσσειν.οἱὠχρόμματοιἐ
page-270-R	55	55	55	2-2-split	no	55	ἀλλήλοιςμιχθῇΖιζ23.577b6.55ἐξαμελεῖν.ἐπὶτῶνγυναικῶνἐ
