0	α φωνῆεν (cf h v) πο20. 1456b27. — θήλεα ὅσα εἰς α ἐπεκ-
1	τεινόμενον τελευτᾷ πο21. 1458a12. — αἱ ἀπὸ τȣ͂ α ἀπο-
2	φάσεις ποσαχῶς Μδ22. 1022b32, διχῶς, τῷ μὴ ἔχειν, τῷ
3	φαύλως ἔχειν Αγ12. 77b24. σχεδὸν ἐπὶ ἐναντίοις λέγονται
4	gismorum fgura Aα 4 al.
5	ἀάζειν θερμόν μβ8. 367b2. opp φυσᾶν πλδ7. 964a11. ὁ
6	ἀάζων ἀθρόον ἐκπνεῖ τὸν ἀέρα πλδ7. 964a16.
7	ἀασμός, ἀθρόȣ (ἀέρος) ἔκπνευσις πλδ 7. 964a18.
8	σθησαν f 559. 1570a36, 38.
9	ἀβαρές, opp τὸ ἔχον βάρος Οα8. 277b19. Μγ2.1004b14.
10	ἀβατώτατος τόπος οἱ τάφοι πκ 12. 924a5.
11	Ἀβδηρίτης. Δημόκριτος ὁ Ἀ. Ογ4. 303a4. μβ7. 365a19.
12	αν 2. 470b28. Ζγβ6. 742b20. δ1. 764a7.
13	ἀβέβαιος φιλία, opp βέβαιος ηεη2. 1236b9. ἀβέβαιοι Ηι12.
14	1172a9.  λεία σὰρξ ϗ̀ εὐφυέα ϗ̀ ἀβέβαιον σημαίνει φ2.
15	806b23. — φαντάσματα ἀβέβαια (veluti λαμπάδες, δοκί-
16	δες, πίθοι) κ4. 395b15. ὀφθαλμὸς ἀβέβαιος Ζια10. 492a12.
17	νηρία ρ5. 1426b32, 30. δεισιδαίμων ἄνευ ἀβελτηρίας (ἀβελ-
18	τερίας Bk) Πε11. 1315a3. hoc loco et οβ1352b8 ἀβελ-
19	τηρία cum codd Bk scripsit.
20	ἀβέλτερος ρ5. 1426b36. — ὅσοι ἐξόφθαλμοι, ἀβέλτεροι
21	φ 6. 811b23.
22	ἀβίαστος συστέλλεται ἡ τȣ͂ πνεύματος φύσις Ζκ10. 703a21.
23	ἀβλαβης. act ὅσα ἀβλαβῆ τῶν ἡδέων, χαρὰ ἀβλαβής Πθ5.
24	1339b25. 7. 1342a16. — περιττώματα ὑδαρῇ γίνεται ϗ̀
25	ἀβλαβῆ πκη1. 949b1. — pass σκληρόδερμα ὄντα τὰ ὅμ-
26	βεῖς τȣς νεανίσκȣς κ6. 400b5.
27	ἄβολος ἵπτπος (i e ὁ μήπω βεβληκὼς τȣ̀ς ὀδόντας) Ζιζ22.
28	576b15.
29	ἄβρωτος θ 144. 845a20. χυμοὶ ἄβρωτοι ϗ̀ ἄποτοι μδ 3.
30	ι28. 618a1. Ζμδ5. 681a5. καρποὶ κατὰ συμβεβηκὸς ἄβρω-
31	τοι φτα 5. 820b4. διὰ τί τὰ μὲν ἄβρωτα τὰ δὲ βρωτά
32	πκ 6. 923a25.
33	Αβυδος θ31. 832b17. eius res publicae Πε 6. 1305b28,
34	οβ 1349a3.
35	ἀγαθοδαιμονιαστής ηεγ6. 1233b3 (ἀγαθοδαιμονιστής 
36	cod Mb Fr).
37	Ἀγαθοκλῆς, βασιλεὺς Σικελιωτῶν θ 110. 840b23.
38	κράτιστος v s h v).
39	τὸ ἀγαθόν 1. πο. καλῶς ἀπεφήναντο τἀγαθόν, ȣ̔͂ πάντ’
40	ἐφίεται· τὸ αὐτȣ͂ ἕνεκα ϗ̀ μὴ ἄλλȣ αἱρετόν, τὸ ȣ̔ ἕνεκα ϗ̀
41	τὸ τέλος sim Ηα1. 1094a3. 5. 1097a18, 20. ε7. 1131b23.
42	ημβ7. 1205b35. ηεα8. 1218b6. Ρα6. 1362a22, 1363a9.
43	7. 1363b13, 1364b17, 25. Πα2. 1252b34. β8. 1269a4.
44	γ12. 1282b15. ΜΑ3. 983a32 Bz. 7. 988b9. β2. 996a24.
45	κ1. 1050a36. λ10. 1075a37. τγ1. 116a19 al. ὅντος τινὸς
46	θείȣ ϗ̀ ἀγαθȣ͂ ϗ̀ ἐφετȣ͂ Φα9. 191a17. Ζκ6. 700b25. τἀ-
47	γαθὸν ϗ̀ τὸ εὖ Ηα6. 1097b27. ȣ̓δεὶς ὑπολαμβάνων πράττει
48	παρὰ τὸ βέλτιστον Ηη3. 1145b26. ὀρεκτόν ἐστιν ἢ τὸ ἀγα-
49	θὸν ἢ τὸ φαινόμενον (sive δοκȣ͂ν) ἀγαθόν ψγ10. 433a28. Πα1.
50	1252a3. ηεη 2. 1235b26. Μδ2. 1031b26. Φβ3. 195a26.
51	Ζκ6. 700b28. τὸ ἀληθῶς ϗ̀ πρώτως ἀγαθὸν θειότερον ἢ ὥστ'
52	εἶναι πρὸς ἕτερον Ζκ6. 700b33. ἀγαθά def et enumerantur
53	Ρα6. τὸ ἀγαθὸν ȣ̓κ ἔστιν ἐν γένει, ἀλλ' αὐτὸ γένος Κ11.
54	14a23. ποτέρως ἔχει ἡ τȣ͂ ὅλȣ φύσις τὸ ἀγαθὸν ϗ̀ τὸ ἄριστον
55	Μλ 10. 1075a12. τὸ βέλτιον ϗ̀ τὸ τιμιώτερον πρότερον τῇ
56	φύσει Κ 12. 14b4. βέλτιον ϗ̀ θειότερον ἡ ἀρχὴ ἡ κινȣ͂σα Ζγβ1.
57	732a3, 7. cf Ηη9. 1151a25. τὸ βέλτιον ἀεὶ ὑπολαμβάνο-
58	μεν ἐν τῇ φύσει ὑπάρχειν Φθ7. 260b22. 6. 259a11. πᾶν ἡ
59	φύσις ἢ διὰ τὸ ἀναγκαῖον ποιεῖ ἢ διὰ τὸ βέλτιον Ζγα4. 717
60	a16. β1. 731b23, 21. 4. 738b1. cf φύσις 2 c. ἀεὶ τὸ χεῖ-
61	ρον τȣ͂ βελτίονος ἕνεκέν ἐστιν Πη14. 1333a22. ημβ10. 1208
62	a13, 18. τῶν ἀγαθῶν ἁπάντων αἴτιον αὐτὸ τἀγαθόν ΜΑ4.
63	985a10. ȣ̓κ εἶναί τι αὐτοαγαθόν Μβ2. 996a28. idea boni
64	refutatur Ηα 4. ηεα 8. ημα1. 1182b10-1183b8. τἀγαθὸν
65	λέγεται ἰσαχῶς τῷ ὄντι,, ἐν πάσαις ταῖς κατηγορίαις, ὁμώ-
66	νυμον Ηα4. 1096a20, 23. ημα 1. 1183a9. β7. 1205a9.
67	ηεα8. 1217b26. τα15. 107a11, 106a4. τιθέντες ἐν τῇ τῶν
68	ἀγαθῶν συστοιχίᾳ τὸ ἔν Ηα4. 1096b6. ἀγαθὸν κατὰ τȣ̀ς
69	Πυθαγορείȣς τὸ δεξιὸν ϗ̀ ἄνω ϗ̀ ἔμπροσθεν f 195. 1513a24.
70	τὸ ἀγαθὸν τȣ͂ πεπερασμένȣ Ηβ5. 1106b30(cf Φθ6. 259a11).
71	— τἀγαθὸν οἰκεῖόν τι ϗ̀ δυσαφαίρετον Ηα3. 1095b25. τὸ
72	ἀγαθὸν ἁπλȣ͂ν, τὸ κακὸν πολύμορφον ηεη5. 1239b11
73	2. αcίeς τȣ͂ ἀγαθȣ͂ distinguuntur. τἀγαθὰ τὰ μὲν καθ.
74	αὐτά, ἕτερα δὲ διὰ ταῦτα· τὰ μέν ἐστι τέλῃ, τὰ δ' ȣ̓ τέλη
