column	line	corpus	llama	llama_n	marks	context
page-029-L	3	ȣ͂	ȣ̓	140	-circumflex,+smooth	αἷμα ἐξ ȣ͂ συνέστηκεν ἡ τῶν σπλάγχνων φύσις Ζμδ5. 678 a31.
page-034-R	31	ȣ͂	ȣ̓	140	-circumflex,+smooth	ὕλη ϗ̀ τὸ ὑποκείμενον, ἐξ ȣ͂ γίγνεται), formalem (τὸ εἶδος, τί
page-034-R	35	ȣ͂	ȣ̓	140	-circumflex,+smooth	τῆς μεταβολῆς), finalem (τὸ τέλος, τίνος ἕνεκα, τὸ ȣ͂ ἕνεκα,
page-034-R	36	ȣ͂	ȣ̓	140	-circumflex,+smooth	τὸ ȣ͂ ἕνεκα ϗ̀ τἀγαθόν) Φβ3. 194b23-195a3. 7. 198a16-22.
page-034-R	47	ȣ͂	ȣ̓	140	-circumflex,+smooth	νȣ͂ν, ȣ͂ ἕνεκα) ἔρχεται εἰς [τὸ] ἐν πολλάκις Φβ7. 198a24 sqq.
page-034-R	51	ȣ͂	ȣ̓	140	-circumflex,+smooth	ȣ͂ ἕνεκα ϗ̀ ἡ ὅθεν ἡ ἀρχὴ τῆς κινήσεως Ζμα1. 639b11. —
page-038-L	56	ȣ͂	ȣ̓	140	-circumflex,+smooth	μεμνημένῳ ἀκολȣθεῖ φαντασία τις ȣ͂ μέμνηται Ρα11. 1370
page-049-L	32	ἄμ	ἁμ	4	-acute,-smooth,+rough	ἔστιν Ηβ5. 1106 b28. τὸ ἄμ. κοινὸν πάντων ἀνθρώπων ρ37.
page-049-L	48	ἄμ	ἁμ	4	-acute,-smooth,+rough	1303 b29. τὸ ἄμ. ȣ̓κ ἐν τῷ νόμῳ ἀλλ' ἐν τῇ φύσει τȣ̃
page-049-L	57	ἄμ	ἁμ	4	-acute,-smooth,+rough	θότης Ηζ10. 1142 b10. τβ4. 111 a16, 18. ἄμ. ἐν τοῖς κατὰ
page-049-L	58	ἄμ	ἁμ	4	-acute,-smooth,+rough	τέχνην, κατὰ φύσιν Φβ8. 199 a33. ἄμ. ἐν τῇ διανοίᾳ, ἐν
page-049-R	47	ἄμ	ἁμ	4	-acute,-smooth,+rough	πρὶν αἴσθησιν ἐγγενέσθαι ϗ̀ ζωήν, ἐμποιεῖσθαι δεῖ τὴν ἄμ-
page-051-L	5	ἄμ	ἁμ	4	-acute,-smooth,+rough	ἀμοιβὴ γίνεταί τινι ἀντί τινος Ηι1. 1163 b35. ἡ ἄμ. γίνεται
page-032-L	17	αἰσθη	αἰσθή	2	+acute	ἐν τοῖς αἰσθητηρίοις ψγ2. 425 b25. εν2. 459 a24 sqq. αἰσθη-
