shape	tier	spelling	count	codepoints	sites	sigla
Κ	weak	Κ	73	GREEK CAPITAL LETTER KAPPA		Κ = Κατηγορίαι
Κ	weak	K	50	LATIN CAPITAL LETTER K	page-022-L:36 page-023-R:3 page-023-R:43 page-024-R:14 page-025-L:32 page-025-R:58 page-026-L:4 page-026-L:15 page-026-L:17 page-026-L:22 page-026-L:53 page-027-L:46 page-027-R:44 page-027-R:55 page-028-R:31 page-029-R:9 page-029-R:10 page-030-L:15 page-030-L:17 page-030-L:25 page-030-R:56 page-035-R:39 page-036-L:25 page-036-L:37 page-036-L:46 page-036-R:5 page-040-R:28 page-043-L:8 page-044-R:9 page-045-L:36 page-047-R:25 page-048-R:29 page-048-R:42 page-050-R:9 page-069-L:39 page-069-L:61 page-069-R:26 page-083-L:21 page-083-L:40 page-083-R:1 page-089-R:28 page-098-R:44 page-098-R:47 page-100-L:15 page-100-R:51 page-102-R:58 page-103-L:34 page-103-R:4 page-103-R:6 page-117-R:58	
Ι	weak	I	85	LATIN CAPITAL LETTER I		
Ι	weak	Ι	3	GREEK CAPITAL LETTER IOTA	page-016-R:20 page-044-R:38 page-049-L:14	
Α	weak	Α	19	GREEK CAPITAL LETTER ALPHA		
Α	weak	A	6	LATIN CAPITAL LETTER A	page-025-R:59 page-036-L:40 page-077-R:13 page-103-L:57 page-104-L:18 page-105-R:7	
Β	weak	B	17	LATIN CAPITAL LETTER B		
Β	weak	Β	6	GREEK CAPITAL LETTER BETA	page-016-R:19 page-016-R:20 page-051-R:60 page-084-R:46 page-099-R:35 page-101-L:49	
Μ	weak	M	16	LATIN CAPITAL LETTER M		
Μ	weak	Μ	1	GREEK CAPITAL LETTER MU	page-051-R:3	Μ = τὰ Μετὰ τὰ φυσικά
Ζ	weak	Ζ	3	GREEK CAPITAL LETTER ZETA		
Ζ	weak	Z	2	LATIN CAPITAL LETTER Z	page-042-L:25 page-042-L:53	
Χ	weak	X	2	LATIN CAPITAL LETTER X		
Χ	weak	Χ	1	GREEK CAPITAL LETTER CHI	page-061-L:29	
ο	weak	o	1	LATIN SMALL LETTER O	page-111-R:18	
ο	weak	ο	1	GREEK SMALL LETTER OMICRON	page-042-L:38	ο = Οἰκονομικά
