source	cite	column	line	tier	corpus_lines
page-015-L:7	πλδ 7. 964a11	964a	11	no-corpus	
page-015-L:8	πλδ 7. 964a16	964a	16	no-corpus	
page-015-L:9	πλδ 7. 964a18	964a	18	no-corpus	
page-015-L:11	559. 1570a36	1570a	36	no-corpus	
page-015-L:13	πκ 12. 924a5	924a	5	no-corpus	
page-015-L:16	Ηι 12. 1172a9	1172a	9	seam	
page-015-L:21	ρ 5. 1426b32	1426b	32	no-corpus	
page-015-L:24	ρ 5. 1426b36	1426b	36	no-corpus	
page-015-L:29	πκη 1. 949b1	949b	1	no-corpus	
page-015-L:37	φτα 5. 820b4	820b	4	no-corpus	
page-015-L:38	πκ 6. 923a25	923a	25	no-corpus	
page-015-R:4	ημβ7. 1205b35	1205b	35	no-corpus	
page-015-R:4	ηεα8. 1218b6	1218b	6	seam	
page-015-R:18	Κ12. 14b4	14b	4	seam	
page-015-R:22	β1. 731b23	731b	23	seam	
page-015-R:23	ημβ10. 1208 a13	1208a	13	no-corpus	
page-015-R:26	ημα1. 1182b10	1182b	10	no-corpus	
page-015-R:26	1183b8	1183b	8	no-corpus	
page-015-R:28	ημα1. 1183a9	1183a	9	no-corpus	
page-015-R:28	β7. 1205a9	1205a	9	no-corpus	
page-015-R:31	195. 1513a24	1513a	24	no-corpus	
page-015-R:37	ημα2. 1184a3	1184a	3	no-corpus	
page-015-R:39	ημα2. 1184a36	1184a	36	no-corpus	
page-015-R:39	4. 1184b36	1184b	36	no-corpus	
page-015-R:40	1185a1	1185a	1	no-corpus	
page-015-R:42	ηεα8. 1218b6	1218b	6	seam	
page-015-R:45	ημα1. 1182b3	1182b	3	no-corpus	
page-016-L:2	ημα1. 1182b5	1182b	5	no-corpus	
page-016-L:12	ηεβ1. 1218b32	1218b	32	seam	
page-016-L:12	ημα3. 1184b1	1184b	1	no-corpus	
page-016-L:13	β3.1200a13	1200a	13	no-corpus	
page-016-L:13	6. 1202a30	1202a	30	no-corpus	
page-016-L:13	ρ36.1440b16	1440b	16	no-corpus	
page-016-L:20	121. 1498b31	1498b	31	no-corpus	
page-016-L:24	ημβ9. 1207b30	1207b	30	no-corpus	
page-016-L:27	ημβ11. 1209a17	1209a	17	no-corpus	
page-016-L:30	ημβ11. 1209a7	1209a	7	no-corpus	
page-016-L:49	623. 1583a17	1583a	17	no-corpus	
page-016-L:61	ημβ11. 1208b7	1208b	7	no-corpus	
page-016-R:3	φτα6. 820 b36	820b	36	no-corpus	
page-016-R:4	πιθ28. 920 a1	920a	1	no-corpus	
page-016-R:10	πο15. 1454 b14	1454b	14	seam	
page-016-R:14	402. 1545 a24	1545a	24	no-corpus	
page-016-R:18	172. 1506 b30	1506b	30	no-corpus	
page-016-R:20	144.1502b30	1502b	30	no-corpus	
page-016-R:21	596.1575 a29	1575a	29	no-corpus	
page-016-R:22	575. 1572 b22	1572b	22	no-corpus	
page-016-R:30	Πε12. 1316 b24	1316b	24	seam	
page-016-R:35	Κ12. 14 b6	14b	6	seam	
page-016-R:37	66. 1487 a2	1487a	2	no-corpus	
page-016-R:53	ρ1. 1420 b12	1420b	12	no-corpus	
page-016-R:59	Ζγα23. 731 b2	731b	2	seam	
page-016-R:61	Μμ1. 1076 a15	1076a	15	seam	
page-017-L:2	596. 1576b4	1576b	4	no-corpus	
page-017-L:5	Ηη1. 1145a29	1145a	29	seam	
page-017-L:11	πκα14. 928b29	928b	29	no-corpus	
page-017-L:12	πκδ5. 936a32	936a	32	no-corpus	
page-017-L:12	8. 936b13	936b	13	no-corpus	
page-017-L:22	πν2. 481a12	481a	12	no-corpus	
page-017-L:24	Ζιβ17. 506b37	506b	37	finding	1-33
page-017-L:25	Ζμδ1. 676a35	676a	35	seam	
page-017-L:28	πν2. 482a3	482a	3	no-corpus	
page-017-L:28	3. 482b11	482b	11	no-corpus	
page-017-L:31	πο15. 1454b5	1454b	5	seam	
page-017-L:35	415. 1547b2	1547b	2	no-corpus	
page-017-L:45	ρ35. 1439b25	1439b	25	no-corpus	
page-017-L:53	ρ5. 1427a28	1427a	28	no-corpus	
page-017-L:53	37. 1444a4	1444a	4	no-corpus	
page-017-R:4	πκγ3. 931 b15	931b	15	no-corpus	
page-017-R:5	248. 1523 b29	1523b	29	no-corpus	
page-017-R:6	223. 1518 a38	1518a	38	no-corpus	
page-017-R:16	286. 1528 b6	1528b	6	no-corpus	
page-017-R:16	313. 1531 a28	1531a	28	no-corpus	
page-017-R:20	313. 1531 a28	1531a	28	no-corpus	
page-017-R:30	17. 1477 a9	1477a	9	no-corpus	
page-017-R:34	82. 1490 a14	1490a	14	no-corpus	
page-017-R:38	Ζιζ1. 558 b16	558b	16	seam	
page-017-R:57	530. 1566 a42	1566a	42	no-corpus	
page-017-R:57	596. 1576 b5	1576b	5	no-corpus	
page-018-L:2	202. 1514 b28	1514b	28	no-corpus	
page-018-L:7	317. 1531 b40	1531b	40	no-corpus	
page-018-L:13	596. 1576 a6	1576a	6	no-corpus	
page-018-L:15	κ6. 401 a7	401a	7	seam	
page-018-L:16	πδ12. 877 b25	877b	25	no-corpus	
page-018-L:26	ρ20. 1433 b28	1433b	28	no-corpus	
page-018-L:39	Μθ10. 1052 a2	1052a	2	seam	
page-018-L:41	ημα 34. 1195 a38	1195a	38	no-corpus	
page-018-L:42	ημα34. 1195 a35	1195a	35	no-corpus	
page-018-L:48	40. 1481 b11	1481b	11	no-corpus	
page-018-L:49	ημα34. 1195 a26	1195a	26	no-corpus	
page-018-L:54	πι36. 894 b34	894b	34	no-corpus	
page-018-L:55	624. 1583 a26	1583a	26	no-corpus	
page-018-L:56	621. 1583 a2	1583a	2	no-corpus	
page-018-L:58	φτα4. 819 b8	819b	8	no-corpus	
page-018-L:59	370. 1540 a6	1540a	6	no-corpus	
page-018-R:4	Ηι5. 1166b36	1166b	36	tail	1-35
page-018-R:6	ξ5. 979a12	979a	12	seam	
page-018-R:12	Μα3. 995a2	995a	2	seam	
page-018-R:16	190. 1512a8	1512a	8	no-corpus	
page-018-R:22	527. 1565a7	1565a	7	no-corpus	
page-018-R:27	πια16. 900b15	900b	15	no-corpus	
page-018-R:27	34. 903a27	903a	27	no-corpus	
page-018-R:27	ι37.895a1	895a	1	no-corpus	
page-018-R:28	Ζικ6. 637b34	637b	34	no-corpus	
page-018-R:30	Ζιγ22. 523a25	523a	25	seam	
page-018-R:46	πκθ14. 952a18	952a	18	no-corpus	
page-018-R:61	ρ3. 1424a29	1424a	29	no-corpus	
page-019-L:8	409. 1546 a43	1546a	43	no-corpus	
page-019-L:13	378. 1541 a8	1541a	8	no-corpus	
page-019-L:20	378. 1541 a4	1541a	4	no-corpus	
page-019-L:20	379. 1541 a32	1541a	32	no-corpus	
page-019-L:23	ρ2. 1422 a1	1422a	1	no-corpus	
page-019-L:24	ρ2. 1421 b36	1421b	36	no-corpus	
page-019-L:26	ρ37. 1444 a23	1444a	23	no-corpus	
page-019-L:28	625. 1583 b18	1583b	18	no-corpus	
page-019-L:31	φτα6. 820 b41	820b	41	no-corpus	
page-019-L:37	πι45. 895 b24	895b	24	no-corpus	
page-019-L:44	πι45. 896 a2	896a	2	no-corpus	
page-019-R:6	φτα4. 819 b28	819b	28	no-corpus	
page-019-R:6	πι45. 896 a8	896a	8	no-corpus	
page-019-R:7	κ36. 927 a6	927a	6	no-corpus	
page-019-R:8	πκ36. 927 a4	927a	4	no-corpus	
page-019-R:14	Ζιθ1. 588 a21	588a	21	seam	
page-019-R:16	ημα31. 1193 a11	1193a	11	no-corpus	
page-019-R:18	ημα31. 1193 a13	1193a	13	no-corpus	
page-019-R:21	ημα31. 1193 a13	1193a	13	no-corpus	
page-019-R:30	387. 1542 b6	1542b	6	no-corpus	
page-019-R:32	πια11. 900a10	900a	10	no-corpus	
page-019-R:33	πιη7. 917 a39	917a	39	no-corpus	
page-019-R:35	πιη7. 917 b1	917b	1	no-corpus	
page-019-R:38	πγ15. 873 a13	873a	13	no-corpus	
page-019-R:39	η10. 888 a23	888a	23	no-corpus	
page-019-R:41	πκγ31. 935 a2	935a	2	no-corpus	
page-019-R:42	357. 1538 b19	1538b	19	no-corpus	
page-019-R:43	Αγ34. 89 b10	89b	10	seam	
page-019-R:44	ημα5. 1185 b5	1185b	5	no-corpus	
page-019-R:48	πλ1. 954 b35	954b	35	no-corpus	
page-019-R:55	πκη3. 949 b16	949b	16	no-corpus	
page-019-R:58	ζ8. 1323 a1	1323a	1	seam	
page-019-R:59	66. 1487 a19	1487a	19	no-corpus	
page-019-R:60	385. 1542 a17	1542a	17	no-corpus	
page-019-R:60	387. 1542 b7	1542b	7	no-corpus	
page-020-L:1	594. 1574 b25	1574b	25	no-corpus	
page-020-L:2	Πζ8. 1323 a1	1323a	1	seam	
page-020-L:7	γ1. 1403 b34	1403b	34	seam	
page-020-L:9	ρ39. 1445 b28	1445b	28	no-corpus	
page-020-L:14	ρ36. 1440 b13	1440b	13	no-corpus	
page-020-L:15	624. 1583 a28	1583a	28	no-corpus	
page-020-L:17	Πδ1. 1288 b17	1288b	17	seam	
page-020-L:17	πλ11. 956 b16	956b	16	no-corpus	
page-020-L:18	πν4. 483 a5	483a	5	no-corpus	
page-020-L:19	πβ31. 869 b6	869b	6	no-corpus	
page-020-L:19	ια36. 903 b12	903b	12	no-corpus	
page-020-L:19	53. 905 a8	905a	8	no-corpus	
page-020-L:19	κζ10. 948 b38	948b	38	no-corpus	
page-020-L:21	πκζ3. 948 a2	948a	2	no-corpus	
page-020-L:22	β26. 868 b34	868b	34	no-corpus	
page-020-L:22	31. 869 b4	869b	4	no-corpus	
page-020-L:22	ια31. 902 b30	902b	30	no-corpus	
page-020-L:22	32. 902 b36	902b	36	no-corpus	
page-020-L:22	53. 905 a5	905a	5	no-corpus	
page-020-L:27	157. 1504 b25	1504b	25	no-corpus	
page-020-L:30	123. 1499 a33	1499a	33	no-corpus	
page-020-L:41	πιθ15. 918 b28	918b	28	no-corpus	
page-020-L:48	πιθ15. 918 b21	918b	21	no-corpus	
page-020-L:53	394. 1543 b18	1543b	18	no-corpus	
page-020-L:58	πιθ9. 918 a23	918a	23	no-corpus	
page-020-L:58	43. 922 a2	922a	2	no-corpus	
page-020-L:59	10. 918 a29	918a	29	no-corpus	
page-020-L:60	πιθ40. 921 a37	921a	37	no-corpus	
page-020-R:7	Ηβ9. 1109b8	1109b	8	seam	
page-020-R:17	ημβ11. 1210a35	1210a	35	no-corpus	
page-020-R:20	Ζγε7. 787b34	787b	34	tail	1-33
page-020-R:21	446. 1551b6	1551b	6	no-corpus	
page-020-R:23	Ζμδ10. 689a21	689a	21	seam	
page-020-R:30	πκη7. 950a15	950a	15	no-corpus	
page-020-R:31	8. 1475a38	1475a	38	no-corpus	
page-020-R:32	190. 1512a8	1512a	8	no-corpus	
page-020-R:33	144. 1502b33	1502b	33	no-corpus	
page-020-R:35	625. 1583b19	1583b	19	no-corpus	
page-020-R:36	172. 1506b26	1506b	26	no-corpus	
page-020-R:44	ι1. 1052a32	1052a	32	seam	
page-020-R:58	Μι1. 1052a21	1052a	21	seam	
page-021-L:1	77. 1488 b41	1488b	41	no-corpus	
page-021-L:7	Ζιβ1. 497 b23	497b	23	seam	
page-021-L:9	260. 1526 a6	1526a	6	no-corpus	
page-021-L:11	πλα7. 958 a12	958a	12	no-corpus	
page-021-L:15	πι22. 893 a21	893a	21	no-corpus	
page-021-L:19	Αδ13. 97 b7	97b	7	seam	
page-021-L:23	Ζιβ1. 497 b11	497b	11	seam	
page-021-L:25	Αδ13. 97 b31	97b	31	seam	
page-021-L:28	πλα29. 960 a31	960a	31	no-corpus	
page-021-L:30	Αδ13.97b21	97b	21	seam	
page-021-L:33	Ρβ25. 1403 b31	1403b	31	seam	
page-021-L:33	ρ8. 1428 b33	1428b	33	no-corpus	
page-021-L:35	Ζμβ1. 646 a11	646a	11	seam	
page-021-L:36	Ηη1. 1145 a15	1145a	15	seam	
page-021-L:36	θ16. 1163 b20	1163b	20	seam	
page-021-L:36	Πη1. 1323 a21	1323a	21	seam	
page-021-L:37	ρ30. 1437 a29	1437a	29	no-corpus	
page-021-L:37	36. 1441 a11	1441a	11	no-corpus	
page-021-L:37	37. 1442 a7	1442a	7	no-corpus	
page-021-L:38	ρ19, 1433 b2	1433b	2	no-corpus	
page-021-L:47	15. 1377 b4	1377b	4	seam	
page-021-L:48	ημα12. 1188 a14	1188a	14	no-corpus	
page-021-L:51	ρ5. 1427 a36	1427a	36	no-corpus	
page-021-L:52	37. 1444 a11	1444a	11	no-corpus	
page-021-L:53	πκθ13. 951 b27	951b	27	no-corpus	
page-021-L:53	952 a2	952a	2	no-corpus	
page-021-R:3	ημα34. 1195 b5	1195b	5	no-corpus	
page-021-R:4	ημα34. 1195 b35	1195b	35	no-corpus	
page-021-R:6	ημα 34. 1196 a33	1196a	33	no-corpus	
page-021-R:8	ημα34. 1195 a8	1195a	8	no-corpus	
page-021-R:15	ημα34. 1196 a26	1196a	26	no-corpus	
page-021-R:23	ρ5. 1427 a32	1427a	32	no-corpus	
page-021-R:25	ημβ3. 1199 b12	1199b	12	no-corpus	
page-021-R:26	ημβ3. 1199b10	1199b	10	no-corpus	
page-021-R:28	ημβ11. 1211 a25	1211a	25	no-corpus	
page-021-R:28	πκθ1. 950 a24	950a	24	no-corpus	
page-021-R:36	ημα34. 1195 a18	1195a	18	no-corpus	
page-021-R:38	πκθ7. 950 b33	950b	33	no-corpus	
page-021-R:40	ημα34. 1195 a8	1195a	8	no-corpus	
page-021-R:43	ρ37. 1444 b13	1444b	13	no-corpus	
page-021-R:49	φτα1. 816 b7	816b	7	no-corpus	
page-021-R:61	Φα1. 184 b11	184b	11	seam	
page-022-L:2	99. 1494 a10	1494a	10	no-corpus	
page-022-L:3	596. 1576 b2	1576b	2	no-corpus	
page-022-L:13	πιη8. 917 b4	917b	4	no-corpus	
page-022-L:15	ρ38. 1445 b16	1445b	16	no-corpus	
page-022-L:29	Πζ8. 1323 a6	1323a	6	seam	
page-022-L:31	507. 1561 a27	1561a	27	no-corpus	
page-022-L:34	Ζιζ1. 558 b16	558b	16	seam	
page-022-L:42	πκα26. 929 b38	929b	38	no-corpus	
page-022-L:43	πκη1. 949 b5	949b	5	no-corpus	
page-022-R:3	πη9. 888 a4	888a	4	no-corpus	
page-022-R:25	Φζ10. 241 b5	241b	5	seam	
page-022-R:30	πια62. 906 a10	906a	10	no-corpus	
page-022-R:32	430. 1549 a38	1549a	38	no-corpus	
page-022-R:33	ρ25. 1435 a16	1435a	16	no-corpus	
page-022-R:34	πα24. 862 a27	862a	27	no-corpus	
page-022-R:34	42. 945 a14	945a	14	no-corpus	
page-022-R:39	6. 1003 a5	1003a	5	seam	
page-022-R:48	πδ13. 877 a13	877a	13	no-corpus	
page-022-R:54	ρ5. 1426 b34	1426b	34	no-corpus	
page-022-R:55	Ζγβ1. 731 b31	731b	31	seam	
page-023-L:37	πιε3. 910 b30	910b	30	no-corpus	
page-023-L:47	θ1. 1337 a17	1337a	17	seam	
page-023-R:5	625. 1583 b21	1583b	21	no-corpus	
page-023-R:22	Ζμγ6. 669 b2	669b	2	seam	
page-023-R:38	275. 1527 b25	1527b	25	no-corpus	
page-023-R:46	πγ18. 873 b31	873b	31	no-corpus	
page-023-R:48	ημβ3. 1200 a15	1200a	15	no-corpus	
page-023-R:50	ρ35. 1440 a1	1440a	1	no-corpus	
page-023-R:53	πδ10. 877 b12	877b	12	no-corpus	
page-024-L:24	πκε22. 940a4	940a	4	no-corpus	
page-024-L:40	2. 940 a38	940a	38	no-corpus	
page-024-L:46	πκγ23. 934a19	934a	19	no-corpus	
page-024-L:47	πιβ10. 907a29	907a	29	no-corpus	
page-024-L:50	πν2. 482a5	482a	5	no-corpus	
page-024-L:54	37. 1481a2	1481a	2	no-corpus	
page-024-L:55	31. 943b23	943b	23	no-corpus	
page-024-R:1	601. 1578 b23	1578b	23	no-corpus	
page-024-R:4	Φθ1. 250 b13	250b	13	seam	
page-024-R:7	33. 1480 a11	1480a	11	no-corpus	
page-024-R:7	34. 1480 b2	1480b	2	no-corpus	
page-024-R:9	625. 1583 b14	1583b	14	no-corpus	
page-024-R:26	505. 1561 a11	1561a	11	no-corpus	
page-024-R:27	594. 1574 b28	1574b	28	no-corpus	
page-024-R:28	402. 1545 a24	1545a	24	no-corpus	
page-024-R:31	402. 1545 a31	1545a	31	no-corpus	
page-024-R:35	596. 1576 b16	1576b	16	no-corpus	
page-024-R:36	619. 1582 b20	1582b	20	no-corpus	
page-024-R:36	27. 1479 a13	1479a	13	no-corpus	
page-024-R:36	443. 1550 b46	1550b	46	no-corpus	
page-024-R:37	489. 1558 a6	1558a	6	no-corpus	
page-024-R:37	619. 1582 b22	1582b	22	no-corpus	
page-024-R:40	381. 1541 b23	1541b	23	no-corpus	
page-024-R:41	ρ9.1429 b8	1429b	8	no-corpus	
page-024-R:41	14. 1431 a17	1431a	17	no-corpus	
page-024-R:43	617. 1582 a22	1582a	22	no-corpus	
page-024-R:48	347. 1536 a46	1536a	46	no-corpus	
page-024-R:48	402. 1545 a30	1545a	30	no-corpus	
page-024-R:48	411. 1546 b12	1546b	12	no-corpus	
page-024-R:49	419. 1547 b45	1547b	45	no-corpus	
page-024-R:51	ρ2. 1422 a40	1422a	40	no-corpus	
page-024-R:51	1423 a5	1423a	5	no-corpus	
page-024-R:51	9. 1429 b1	1429b	1	no-corpus	
page-024-R:54	343. 1535 b37	1535b	37	no-corpus	
page-024-R:55	346. 1536 a39	1536a	39	no-corpus	
page-024-R:56	350. 1537 a16	1537a	16	no-corpus	
page-024-R:58	374. 1540 a40	1540a	40	no-corpus	
page-024-R:59	372. 1540 a27	1540a	27	no-corpus	
page-024-R:59	380. 1541 b3	1541b	3	no-corpus	
page-024-R:59	386. 1542 b2	1542b	2	no-corpus	
page-025-L:10	πλ11. 956 b26	956b	26	no-corpus	
page-025-L:16	πλη5. 967 a13	967a	13	no-corpus	
page-025-L:17	η4. 887 b22	887b	22	no-corpus	
page-025-L:17	α28. 862 b21	862b	21	no-corpus	
page-025-L:22	89.1492a9	1492a	9	no-corpus	
page-025-L:24	374.1540b6	1540b	6	no-corpus	
page-025-L:28	Ργ1. 1403b22	1403b	22	seam	
page-025-L:33	πγ9. 872 a19	872a	19	no-corpus	
page-025-L:43	56. 946 b36	946b	36	no-corpus	
page-025-L:46	πθ1. 889 b12	889b	12	no-corpus	
page-025-L:46	56. 946 b35	946b	35	no-corpus	
page-025-L:51	ρ23. 1434 b9	1434b	9	no-corpus	
page-025-R:3	πλα15. 958 b37	958b	37	no-corpus	
page-025-R:5	πκε2. 938 a5	938a	5	no-corpus	
page-025-R:6	πλα16. 959 a6	959a	6	no-corpus	
page-025-R:9	πγ21. 874 a22	874a	22	no-corpus	
