column	line	citation	token	page	why
page-017-L	25	πκ34. 726b	πκ	726	π is Προβλήματα at 859-967, and the page beside it is 726
page-020-L	7	Πβ18. 1391 b	Πβ	1391	Π is Πολιτικά at 1252-1342, and the page beside it is 1391
page-024-R	28	οβ1374 a	οβ	1374	ο is Οἰκονομικά at 1343-1353, and the page beside it is 1374
page-027-L	5	Ζιβ1. 449 a	Ζιβ	449	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-638, and the page beside it is 449
page-028-L	28	υ3. 485 a	υ	485	υ is περὶ Ὕπνȣ ϗ̀ ἐγρηγόρσεως at 453-458, and the page beside it is 485
page-032-R	51	Ζιι6. 700 b	Ζιι	700	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-638, and the page beside it is 700
page-035-L	22	Οβ13. 259a	Οβ	259	Ο is περὶ Οὐρανȣ͂ at 268-313, and the page beside it is 259
page-038-R	52	Πγ7. 1408 b	Πγ	1408	Π is Πολιτικά at 1252-1342, and the page beside it is 1408
page-039-L	14	Ππ14. 1285 a	Ππ	1285	1285 is inside Π (Πολιτικά), but 'π' reads as book 80 and no work of Aristotle has that many
page-040-L	44	πο8. 1408 b	πο	1408	πο is περὶ Ποιητικῆς at 1447-1462, and the page beside it is 1408
page-041-R	10	Ζκ7. 638b	Ζκ	638	Ζκ is περὶ Ζῴων κινήσεως at 698-704, and the page beside it is 638
page-049-L	51	Ηε10. 1835 b	Ηε	1835	Η is Ἠθικὰ Νικομάχεια at 1094-1181, and the page beside it is 1835
page-050-R	31	Πζ5. 1820a	Πζ	1820	Π is Πολιτικά at 1252-1342, and the page beside it is 1820
page-056-R	40	Ζγε3. 482 b	Ζγε	482	Ζγ is περὶ Ζῴων γενέσεως at 715-789, and the page beside it is 482
page-058-L	26	Λγ13. 78b	Λγ	78	'Λγ' is not one of Bonitz's sigla
page-059-L	17	κτλ 1379a	κτλ	1379	κ is περὶ Κόσμȣ at 391-401, and the page beside it is 1379
page-059-R	6	υ3. 465 b	υ	465	υ is περὶ Ὕπνȣ ϗ̀ ἐγρηγόρσεως at 453-458, and the page beside it is 465
page-060-L	1	τι8. 138 b	τι	138	τι is Σοφιστικοὶ ἔλεγχοι at 164-184, and the page beside it is 138
page-063-L	9	Ζδ4. 773a	Ζδ	773	'Ζδ' is not one of Bonitz's sigla
page-065-R	46	Ζμβ4. 501b	Ζμβ	501	Ζμ is περὶ Ζῴων μορίων at 639-697, and the page beside it is 501
page-067-L	44	Ρβ12. 1274b	Ρβ	1274	Ρ is τέχνη Ῥητορική at 1354-1420, and the page beside it is 1274
page-067-R	18	Πβ6. 1383b	Πβ	1383	Π is Πολιτικά at 1252-1342, and the page beside it is 1383
page-070-R	13	Ζμγ7. 516a	Ζμγ	516	Ζμ is περὶ Ζῴων μορίων at 639-697, and the page beside it is 516
page-070-R	22	Ζμδ10. 628a	Ζμδ	628	Ζμ is περὶ Ζῴων μορίων at 639-697, and the page beside it is 628
page-070-R	59	Ζμα16. 494b	Ζμα	494	Ζμ is περὶ Ζῴων μορίων at 639-697, and the page beside it is 494
page-076-R	6	Ζμδ3. 768a	Ζμδ	768	Ζμ is περὶ Ζῴων μορίων at 639-697, and the page beside it is 768
page-081-L	11	Φθ8. 363a	Φθ	363	Φ is Φυσικὴ ἀκρόασις at 184-267, and the page beside it is 363
page-086-L	24	χ3. 729b	χ	729	χ is περὶ Χρωμάτων at 791-799, and the page beside it is 729
page-096-R	9	Ζδ6. 775a	Ζδ	775	'Ζδ' is not one of Bonitz's sigla
page-102-R	12	Ηκ10. 1081b	Ηκ	1081	Η is Ἠθικὰ Νικομάχεια at 1094-1181, and the page beside it is 1081
