column	line	citation	token	page	why
page-015-R	22	β1.731b	β	731	reads as book β of Φ (the work last named), but 731 is outside Φ (184-267)
page-016-L	32	Ζυ15. 616a	Ζυ	616	'Ζυ' is not one of Bonitz's sigla
page-016-L	33	Ζυ34. 619b	Ζυ	619	'Ζυ' is not one of Bonitz's sigla
page-017-L	13	ε18. 550a	ε	550	reads as book ε of π (the work last named), but 550 is outside π (859-967)
page-017-L	25	πκ34. 726b	πκ	726	reads as book πκ of Ζι (the work last named), but 726 is outside Ζι (486-633)
page-017-L	27	αχ800a	αχ	800	reads as book αχ of Ζγ (the work last named), but 800 is outside Ζγ (715-789)
page-018-R	3	θ2. 1155b	θ	1155	reads as book θ of ηε (the work last named), but 1155 is outside ηε (1214-1249)
page-018-R	28	Ζικ6. 637b	Ζικ	637	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-633, and the page beside it is 637
page-019-R	7	κ36. 927 a	κ	927	reads as book κ of φτ (the work last named), but 927 is outside φτ (815-830)
page-019-R	39	η10. 888 a	η	888	reads as book η of Μ (the work last named), but 888 is outside Μ (980-1093)
page-020-L	7	Πβ18. 1391 b	Πβ	1391	Π is Πολιτικά at 1252-1342, and the page beside it is 1391
page-020-L	7	γ1. 1403 b	γ	1403	reads as book γ of πο (the work last named), but 1403 is outside πο (1447-1462)
page-020-L	22	β26. 868 b	β	868	reads as book β of Ρ (the work last named), but 868 is outside Ρ (1354-1420)
page-020-L	22	ια31. 902 b	ια	902	reads as book ια of Ρ (the work last named), but 902 is outside Ρ (1354-1420)
page-021-L	55	α14. 1375 a	α	1375	reads as book α of Π (the work last named), but 1375 is outside Π (1252-1342)
page-021-R	60	α19. 726 b	α	726	reads as book α of Γ (the work last named), but 726 is outside Γ (314-338)
page-022-L	7	κις 31. 181 b	κις	181	'κις' is not one of Bonitz's sigla
page-022-L	11	γ3. 1406 a	γ	1406	reads as book γ of Η (the work last named), but 1406 is outside Η (1094-1181)
page-023-L	5	ι6. 1056 b	ι	1056	reads as book ι of Ζγ (the work last named), but 1056 is outside Ζγ (715-789)
page-023-L	19	α15. 34 b	α	34	reads as book α of τθ (the work last named), but 34 is outside τθ (100-164)
page-024-L	12	β6. 364b	β	364	reads as book β of Φ (the work last named), but 364 is outside Φ (184-267)
page-024-L	12	γ4. 373b	γ	373	reads as book γ of Φ (the work last named), but 373 is outside Φ (184-267)
page-024-R	18	σιν 32. 88 a	σιν	88	reads as book σιν of Ζι (the work last named), but 88 is outside Ζι (486-633)
page-024-R	19	μ8. 1084 b	μ	1084	reads as book μ of Ζι (the work last named), but 1084 is outside Ζι (486-633)
page-024-R	38	ι31. 618 b	ι	618	reads as book ι of Π (the work last named), but 618 is outside Π (1252-1342)
page-024-R	57	ε4. 1304 a	ε	1304	reads as book ε of Ρ (the work last named), but 1304 is outside Ρ (1354-1420)
page-025-L	3	γ14. 1415 b	γ	1415	reads as book γ of πο (the work last named), but 1415 is outside πο (1447-1462)
page-025-L	43	πκς 56. 946 b	πκς	946	'πκς' is not one of Bonitz's sigla
page-025-L	46	κς56. 946 b	κς	946	'κς' is not one of Bonitz's sigla
page-025-L	61	θ3. 253 b	θ	253	reads as book θ of ψ (the work last named), but 253 is outside ψ (402-435)
page-025-R	27	πκς36. 944 b	πκς	944	'πκς' is not one of Bonitz's sigla
