column	line	word	detail	context
page-031-L	38	απ	no breathing	απ. κ. λ. III 7). Ηι7. 1170 a31. αὑτȣ͂ (codd αὐτὸ) αἰσθά-
page-032-L	45	απ	no breathing	τὰς πέντε ψγ1. 424 b22-425 a13 (Alex Aph απ. κ. λ. III 6
page-110-R	28	Οαβ	no breathing	(Μδ7). β10. 337a1 ὥσπερ εἴρηται πολλάκις (Φθ. Οαβ).
page-110-R	32	Οαβ	no breathing	imprimis Οαβ). α1. 338a24 (I et fortasse Ογδ). α1. 339
page-032-L	1	αλλα	no breathing	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̓ μόνον πασχει αλλα ϗ̀ ἀντι-
page-041-L	2	ον	no breathing	ἄκρος, α, ον, τὸ ἄκρον. ἄκρα, i e τὰ μάλιστα ἐναντία, opp
page-054-L	8	ηκ	no breathing	αἱ ἀπὸ τȣ͂ ηκ ἀναγόμεναι γραμμαί μγ5. 376a1. εἰ ἀνῆκτο
page-109-R	6	ύστερον	no breathing	ἐκ τῶν (ἐν τοῖό) ύστερον Οα10. 280a28. Γα2. 317a30.
page-110-R	32	Ογδ	no breathing	imprimis Οαβ). α1. 338a24 (I et fortasse Ογδ). α1. 339
page-111-R	2	ῆς	no breathing	περὶ ζω ῆς ϗ̀ θανάτȣ 1. 467b13 (ψ universe). 2. 468
page-111-R	17	ερὶ	no breathing	b23 (p περὶ ὑγιείας ϗ̀ νόσȣ, cf III). — I ερὶ πνεύματος
page-111-R	22	Ανατ	no breathing	Ανατ). β17. 507a25 ὕστερον (p Ζμγ3. 665b21). γ1. 509
page-112-R	47	ῶν	no breathing	stotelici mentio. — Περὶ φυ7 ῶν β2. 822b32 ἐκτεθείκαμεν
page-113-L	37	ικομάχεια	no breathing	tetur incertum est). — Ἡθικὰ Nικομάχεια α3. 1096
page-116-L	61	Οπτικά	no breathing	Οπτικά memorat auctor problematis ι1. 913a27 δεί-
page-117-L	57	άνθιππος	no breathing	Ἀρίφρων. Sάνθιππος ὁ Ἀρίφρονος f 361. 1539a38.
