column	line	word	detail	context
page-111-R	23	Ἀνατ	ends in τ	b22 ἐκ τῶν ἀνατομῶν (cf III Ἀνατ). γ11. 511a13 ἐκ τῶν
page-111-R	24	Ἀνατ	ends in τ	ἀνατομῶν (cf III Ἀνατ). γ22. 523a14 ἐν ἄλλοις (pΖγα21.
page-111-R	27	Ἀνατ	ends in τ	ἀνατομῶν (cf III Ἀνατ). ε1. 539a20 ἐν τῇ θεωρίᾳ τῇ περὶ
page-111-R	30	Ἀνατ	ends in τ	III Ἀνατ). — Περὶ ζῴων μορίων α1. 640a2 ἐν ἑτέροις
page-111-R	42	Ἀνατ	ends in τ	cf III Ἀνατ). β3. 650b10 ἐν τοῖς περὶ γενέσεως ϗ̀ ἐν ἑτέροις
page-112-L	19	Ἀνατ	ends in τ	ἐκ τῶν ἀνατομῶν (Ζιδ4. cf III Ἀνατ). δ5. 682a2 ἐν τοῖς
page-112-L	23	Ἀνατ	ends in τ	τῶν περὶ τὰ ζῷα (Ζιδ2. 3. ε7. 541b29. cf III Ἀνατ). δb0.
page-096-L	13	κτλ	ends in λ	a16. ταῦτα (int ȣ̓σία ποσόν κτλ) εἴτ’ ἀπολελυμένα ἀπ’
page-110-R	28	Οαβ	ends in β	(Μδ7). β10. 337a1 ὥσπερ εἴρηται πολλάκις (Φθ. Οαβ).
page-110-R	32	Οαβ	ends in β	imprimis Οαβ). α1. 338a24 (I et fortasse Ογδ). α1. 339
page-114-L	25	κτλ	ends in λ	μαίνει τὸ μὲν τί ἐστι κτλ ηεα8. 1217b27, dubium est utrum
page-054-L	8	ηκ	ends in κ	αἱ ἀπὸ τȣ͂ ηκ ἀναγόμεναι γραμμαί μγ5. 376a1. εἰ ἀνῆκτο
page-110-R	32	Ογδ	ends in δ	imprimis Οαβ). α1. 338a24 (I et fortasse Ογδ). α1. 339
page-111-L	38	τοῆϛ	ends in ϛ	1. 450a9 (cf ad ψα3. 407b12). 2. 451a18 ἐν τοῆϛ ἐπιχει-
page-111-R	22	Ανατ	ends in τ	Ανατ). β17. 507a25 ὕστερον (p Ζμγ3. 665b21). γ1. 509
page-113-R	19	Πολιτικάβ	ends in β	— Πολιτικάβ2. 1261a31 ἐν τοῖς ἠθικοῖς (Ηε8. 1132b33,
page-113-R	36	ῥητορικ	ends in κ	1εχνη ῥητορικ7 α1. 1355a28 ἐν τοις τοπικοις (τα1. 101
page-117-L	9	ἐξωτερικȣ̀ϛ	ends in ϛ	Aristotelis libros intelligi voluit, τȣ̀ς ἐξωτερικȣ̀ϛ λόγȣς op-
